Property Name,Description,Price,Type,Location,Image URL,WhatsApp Message
6.5 Acre - Ooty Kodanad,"6.5 Acres With Tea And Coffee Estate Sales
Tea Coffee Fruits Bird Of Paradise Plantations<Br>
3 Sides Jungle Ample Scenic View <Br>
Ample Water Facilities From Nature<Br>
Monthly 4 Lakhs Income<Br>
2 British Bungalows Inside Wherein Foreign Visitors Stay Often <Br>",85 Lakhs/acre,Sale,Kothagiri,kodanad.jpg,I'm interested in 6.5 Acre - Ooty Kodanad
DTCP Plot - Coimbatore Vadavalli,"GKS AVENUE <Br>
Near Parambariyam Hotel<Br>
40*70 6.4 CENTS NORTH <Br>
DTP APPROVED <Br>
",17 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in GKS DTCP Plot in Vadavalli
50 Cents Land - Coimbatore Vadavalli,Iob Colony <Br>50 Cents Land  <Br>South Face <Br>30 Feet Road <Br>5.50 Lakhs Per Cent,5.50 Lakhs/cent,Rent,Vadavalli,farm.jpg,Interested in 50 cents land in IOB
DTCP Plot - Coimbatore Vadavalli,"Kannapar Nagar<Br>
46*120 East And South 2 Sides Road<Br>
12.7 Cents Dtp Approved<Br>
30 Feet Road<Br>",16 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in Kannapar DTCP Plot in Vadavalli
33 Acre - Kerala Attapadi,33 Acres Agri Land <Br>At 15l Per Acre <Br>Kadambarai <Br>Two Wells <Br>Cheapest At This Place,15 Lakhs / acre,Sale,Kerala - Attapadi,farm.jpg,I'm interested in 33 Acre - Attapadi
DTCP Plot - Coimbatore Thondamuthur,"Mini Gated Community Fresh Plots Sale<Br>
On The Way To Isha Yoga<Br> Devarayapuram<Br>
30*40 2.75 Cents East And North Available<Br>
30 And 23 Feet Thar Road<Br>
Dtp Approved <Br>
Walkable Distance From Main Road<Br>
",5.5 Lakhs / cent,Sale,Devarayapuram,dtcp.jpg,Interested in DTCP Plot in Devarayapuram
11 Cents - Vadavalli - Siruvani main road,"On Siruvani Main Road <Br> 
Near Ks Bakes<Br> 
Near Veerakeralam<Br> 
50*100 11 Cents <Br> 
South Face
",20 Lakhs /cent,Sale,Vadavalli,mainroad.jpg,Interested in 11 Cents - Vadavalli - Siruvani main road
50 CENTS - COIMBATORE KANUVAI,"50 Cents North East Corner Sale<Br>
Coimbatore Kanuvai<Br>
On Kanuvai To  Thadagam Road<Br>
",10 Lakhs /cent,Sale,Kanuvai,farm.jpg,Interested in 50 CENTS - COIMBATORE KANUAVAI
Unappproved Plot - Coimbatore PN Pudur,"Gokulam colony <br>
5.25 CENTS EAST FACE<br>
UNAPPROVED",19 Lakhs/cent,Sale,PN PUDUR,farm.jpg,Interested in Unappproved Plot - Coimbatore PN Pudur
DTCP Plot - Coimbatore Vadavalli,"Coimbatore Vadavalli <br>
Vadavalli to Edayarpalayam<br>
Walkable from main road<br>
30*52 3.50 Cents North <br>
DTP Approved<br>
",23 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli
